,Condition,Time,Sample
SRR6679052,AF11_Susceptible,72h,AF11-T72-R1-RNAseq
SRR6679053,AF11_Susceptible,60h,AF11-T60-R3-RNAseq
SRR6679054,AF11_Susceptible,48h,AF11-T48-R3-RNAseq
SRR6679055,AF11_Susceptible,48h,AF11-T48-R2-RNAseq
SRR6679056,AF11_Susceptible,60h,AF11-T60-R2-RNAseq
SRR6679057,AF11_Susceptible,60h,AF11-T60-R1-RNAseq
SRR6679058,AF11_Susceptible,24h,AF11-T24-R2-RNAseq
SRR6679059,AF11_Susceptible,24h,AF11-T24-R1-RNAseq
SRR6679060,AF11_Susceptible,48h,AF11-T48-R1-RNAseq
SRR6679061,AF11_Susceptible,24h,AF11-T24-R3-RNAseq
SRR6679082,AF11_Susceptible,72h,AF11-T72-R2-RNAseq
SRR6679083,AF11_Susceptible,72h,AF11-T72-R3-RNAseq
SRR6679084,AF11_Susceptible,12h,AF11-T12-R2-RNAseq
SRR6679085,AF11_Susceptible,12h,AF11-T12-R3-RNAseq
SRR6679086,AF11_Susceptible,6h,AF11-T6-R3-RNAseq
SRR6679087,AF11_Susceptible,12h,AF11-T12-R1-RNAseq
SRR6679088,AF11_Susceptible,6h,AF11-T6-R1-RNAseq
SRR6679089,AF11_Susceptible,6h,AF11-T6-R2-RNAseq
SRR6679090,AF11_Susceptible_control,0h,AF11-T0-R2-RNAseq
SRR6679091,AF11_Susceptible_control,0h,AF11-T0-R3-RNAseq
SRR6679093,AF11_Susceptible_control,0h,AF11-T0-R1-RNAseq
SRR6679062,AF21-Resistant,60h,AF21-T60-R3-RNAseq
SRR6679063,AF21-Resistant,60h,AF21-T60-R2-RNAseq
SRR6679064,AF21-Resistant,60h,AF21-T60-R1-RNAseq
SRR6679065,AF21-Resistant,48h,AF21-T48-R3-RNAseq
SRR6679066,AF21-Resistant,48h,AF21-T48-R2-RNAseq
SRR6679068,AF21-Resistant,24h,AF21-T24-R3-RNAseq
SRR6679069,AF21-Resistant,24h,AF21-T24-R2-RNAseq
SRR6679070,AF21-Resistant,72h,AF21-T72-R2-RNAseq
SRR6679071,AF21-Resistant,72h,AF21-T72-R1-RNAseq
SRR6679072,AF21-Resistant,6h,AF21-T6-R3-RNAseq
SRR6679073,AF21-Resistant,6h,AF21-T6-R2-RNAseq
SRR6679075,AF21-Resistant,12h,AF21-T12-R1-RNAseq
SRR6679076,AF21_Resistant_control,0h,AF21-T0-R2-RNAseq
SRR6679077,AF21_Resistant_control,0h,AF21-T0-R1-RNAseq
SRR6679078,AF21-Resistant,6h,AF21-T6-R1-RNAseq
SRR6679079,AF21_Resistant_control,0h,AF21-T0-R3-RNAseq
SRR6679080,AF21-Resistant,24h,AF21-T24-R1-RNAseq
SRR6679081,AF21-Resistant,12h,AF21-T12-R3-RNAseq
SRR6679092,AF21-Resistant,72h,AF21-T72-R3-RNAseq
SRR6679074,AF21-Resistant,12h,AF21-T12-R2-RNAseq
SRR6679067,AF21-Resistant,48h,AF21-T48-R1-RNAseq
,,,